economy,item,unit,item_code_new,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
01_AUS,steel_production,thousand tonnes,13_1_iron_and_steel,7589,7635,6371,5676,6302,6609,6674,6100,6387,6735,6676,6141,6803,7853,8424,8460,8415,8831,8941,8172,7129,7033,7527,7544,7414,7757,7881,7939,7625,5249,7296,6404,4893,4688,4607,4925,5259,5327.894,5688.806
02_BD,steel_production,thousand tonnes,13_1_iron_and_steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_CDA,steel_production,thousand tonnes,13_1_iron_and_steel,15901,14811,11871,12832,14699,14637,14081,14737,14865,15458,12281,12987,13833,14387,13879,14415,14735,15553,15930,16235,16595,15276,16002,15929,16305,15327,15493,15572,14945,9292,13009,12891,13507,12417,12730,12473,12646,13208,13443
04_CHL,steel_production,thousand tonnes,13_1_iron_and_steel,704,644,492,618,692,689,706,726,909,800,772,807,1013,1069,1040,1014,1178,1167,1171,1291,1352,1247,1279,1377,1579,1541,1607,1678,1549,1308,1011,1615,1671,1323,1079,1112,1153,1157.524,1145.226
05_PRC,steel_production,thousand tonnes,13_1_iron_and_steel,37121,35604,37160,40021,43475,46794,52208,56280,59430,61587,66350,71000,80940,89560,92610,95360,101237,108911,114588,123954,128500,151634,182249,222336,272798,355790,421024,489712,512339,577070,638743,701968,731040,822000,822306,803825,807609,870854.5,928264.4
06_HKC,steel_production,thousand tonnes,13_1_iron_and_steel,120,120,120,120,120,120,120,120,120,150,150,150,150,150,150,150,100,,,,,,,,,,,,,,,,,,,,,,
07_INA,steel_production,thousand tonnes,13_1_iron_and_steel,543,621,693,983,1171,1374,1729,2059,2054,2383,2892,3089,2949,3802,3220,4130,4109,3816,2699,2891,2848,2781,2462,2042,3682,3675,3759,4160,3915,3501,3664,3621,2254,2644,4428,4854,4746,5195.078,6182.981
08_JPN,steel_production,thousand tonnes,13_1_iron_and_steel,111395,101676,99548,97179,105586,105279,98275,98513,105681,107909,110339,109649,98132,99623,98295,101640,98801,104545,93548,94192,106444,102866,107745,110511,112718,112471,116226,120203,118739,87534,109599,107601,107232,110595,110666,105134,104775,104661.087,104318.836
09_ROK,steel_production,thousand tonnes,13_1_iron_and_steel,8558,10753,11758,11915,13034,13539,14555,16782,19118,21873,23125,26001,28055,33026,33745,36772,38903,42554,39896,41042,43107,43852,45390,46310,47521,47820,48455,51517,53625,48572,58914,68519,69073,66061,71543,69670,68576,71029.994,72464.039
10_MAS,steel_production,thousand tonnes,13_1_iron_and_steel,210,210,210,350,350,400,450,680,925,1000,1100,1130,1559,1807,2046,2450,3216,2962,1903,2770,3650,4100,4722,3960,5698,5296,5834,6895,6423,5354,5694,5941,5612,4693,4316,3784,2764,3214.94,4108.491
